Vardas         Pavardė       Galutinis (Vid.)
vardas930      pavarde930      6.84
vardas931      pavarde931      6.52
vardas932      pavarde932      3.64
vardas933      pavarde933      5.56
vardas934      pavarde934      6.28
vardas935      pavarde935      6.40
vardas936      pavarde936      1.84
vardas937      pavarde937      7.52
vardas938      pavarde938      6.40
vardas939      pavarde939      7.68
vardas940      pavarde940      1.60
vardas941      pavarde941      8.64
vardas942      pavarde942      5.36
vardas943      pavarde943      5.12
vardas944      pavarde944      5.92
vardas945      pavarde945      3.84
vardas946      pavarde946      5.72
vardas947      pavarde947      5.20
vardas948      pavarde948      4.92
vardas949      pavarde949      7.12
vardas950      pavarde950      8.00
vardas951      pavarde951      6.08
vardas952      pavarde952      2.16
vardas953      pavarde953      1.04
vardas954      pavarde954      8.88
vardas955      pavarde955      2.32
vardas956      pavarde956      7.64
vardas957      pavarde957      7.56
vardas958      pavarde958      2.96
vardas959      pavarde959      5.28
vardas960      pavarde960      3.04
vardas961      pavarde961      1.28
vardas962      pavarde962      4.16
vardas963      pavarde963      8.48
vardas964      pavarde964      3.04
vardas965      pavarde965      2.92
vardas966      pavarde966      7.12
vardas967      pavarde967      3.48
vardas968      pavarde968      5.08
vardas969      pavarde969      4.92
vardas970      pavarde970      7.40
vardas971      pavarde971      8.04
vardas972      pavarde972      7.00
vardas973      pavarde973      7.12
vardas974      pavarde974      7.04
vardas975      pavarde975      4.24
vardas976      pavarde976      5.92
vardas977      pavarde977      3.28
vardas978      pavarde978      5.32
vardas979      pavarde979      1.52
vardas980      pavarde980      6.96
vardas981      pavarde981      3.88
vardas982      pavarde982      2.44
vardas983      pavarde983      3.32
vardas984      pavarde984      2.64
vardas985      pavarde985      3.24
vardas986      pavarde986      5.40
vardas987      pavarde987      1.56
vardas988      pavarde988      4.52
vardas989      pavarde989      3.12
vardas990      pavarde990      3.36
vardas991      pavarde991      2.20
vardas992      pavarde992      4.08
vardas993      pavarde993      4.52
vardas994      pavarde994      6.32
vardas995      pavarde995      3.92
vardas996      pavarde996      5.92
vardas997      pavarde997      3.44
vardas998      pavarde998      4.36
vardas999      pavarde999      7.24
vardas1000     pavarde1000     8.32
